epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.01721,2.19073,3.16318,1.75459,0.01289,0.14834,0.00971,0.00347,2.06527,3.33517,1.5877,2e-05,2e-05,2e-05
2,2.85486,2.26981,3.26852,1.84232,0.01311,0.1509,0.00985,0.00357,2.05136,3.33815,1.57559,5.9406e-05,5.9406e-05,5.9406e-05
3,3.58237,2.16804,3.27453,1.82619,0.07129,0.09719,0.04392,0.01773,2.00509,2.71945,1.61426,9.802e-05,9.802e-05,9.802e-05
4,4.59079,1.94249,2.08672,1.63082,0.29948,0.42422,0.30736,0.14687,1.87073,4.39772,1.56324,0.000135842,0.000135842,0.000135842
5,5.52974,1.79535,1.74548,1.60465,0.44684,0.42199,0.4117,0.21338,1.67895,4.68165,1.44509,0.000172872,0.000172872,0.000172872
6,6.50967,1.88802,1.45747,1.52401,0.40704,0.46036,0.42111,0.22493,1.66344,5.12949,1.3568,0.00020911,0.00020911,0.00020911
7,7.42895,1.64385,1.35427,1.36735,0.44219,0.48593,0.46409,0.21651,1.73814,6.55498,1.37094,0.000244556,0.000244556,0.000244556
8,8.33542,1.64725,1.46498,1.49669,0.57848,0.54476,0.59173,0.3208,1.53562,3.66514,1.24305,0.00027921,0.00027921,0.00027921
9,9.36515,1.40964,1.22252,1.22869,0.66057,0.55754,0.66521,0.37942,1.3615,2.66569,1.17442,0.000313072,0.000313072,0.000313072
10,10.2694,1.33424,1.12335,1.21357,0.74839,0.56777,0.68009,0.39674,1.36524,2.25816,1.19803,0.000346142,0.000346142,0.000346142
11,11.15,1.38785,0.99391,1.13812,0.72573,0.5422,0.6389,0.3297,1.64227,2.56433,1.35677,0.00037842,0.00037842,0.00037842
12,11.9835,1.48219,1.11025,1.22556,0.72573,0.5422,0.6389,0.3297,1.64227,2.56433,1.35677,0.000409906,0.000409906,0.000409906
13,12.8567,1.40954,0.97466,1.16187,0.63628,0.56777,0.64945,0.35201,1.576,2.07662,1.30709,0.0004406,0.0004406,0.0004406
14,13.7625,1.34777,0.92816,1.13535,0.72526,0.67519,0.78125,0.48588,1.24543,1.40855,1.11519,0.000470502,0.000470502,0.000470502
15,14.6763,1.32646,0.96825,1.151,0.72526,0.67519,0.78125,0.48588,1.24543,1.40855,1.11519,0.000499612,0.000499612,0.000499612
16,15.5542,1.25719,0.92785,1.11287,0.6995,0.76215,0.7898,0.50425,1.25702,1.12388,1.12579,0.00052793,0.00052793,0.00052793
17,16.4246,1.30385,0.9034,1.11354,0.72643,0.711,0.76924,0.45791,1.35821,1.05733,1.17553,0.000555456,0.000555456,0.000555456
18,17.1796,1.19979,0.8277,1.03218,0.72643,0.711,0.76924,0.45791,1.35821,1.05733,1.17553,0.00058219,0.00058219,0.00058219
19,17.9838,1.12747,0.85231,1.07038,0.77531,0.68286,0.78222,0.45956,1.37264,0.9855,1.17524,0.000608132,0.000608132,0.000608132
20,18.757,1.17176,0.82075,1.06647,0.77531,0.68286,0.78222,0.45956,1.37264,0.9855,1.17524,0.000633282,0.000633282,0.000633282
21,19.6048,1.17236,0.83712,1.05973,0.76939,0.75941,0.81077,0.50297,1.21755,0.8994,1.093,0.00065764,0.00065764,0.00065764
22,20.6079,1.15891,0.84886,1.06275,0.76939,0.75941,0.81077,0.50297,1.21755,0.8994,1.093,0.000681206,0.000681206,0.000681206
23,21.8797,1.14415,0.82113,1.08827,0.84376,0.77343,0.85061,0.548,1.15072,0.94771,1.05843,0.00070398,0.00070398,0.00070398
24,22.8036,1.12207,0.79827,1.0432,0.84376,0.77343,0.85061,0.548,1.15072,0.94771,1.05843,0.000725962,0.000725962,0.000725962
25,23.8164,1.09323,0.78465,1.02637,0.8842,0.79795,0.87684,0.56382,1.17285,0.88514,1.08849,0.000747152,0.000747152,0.000747152
26,24.7041,1.09558,0.76243,1.02901,0.8842,0.79795,0.87684,0.56382,1.17285,0.88514,1.08849,0.00076755,0.00076755,0.00076755
27,25.5314,1.08519,0.74516,1.04423,0.8842,0.79795,0.87684,0.56382,1.17285,0.88514,1.08849,0.000787156,0.000787156,0.000787156
28,26.4024,1.05963,0.70477,0.99111,0.88213,0.80387,0.89393,0.58018,1.14237,0.88256,1.06925,0.00080597,0.00080597,0.00080597
29,27.2909,1.05074,0.7566,1.00761,0.88213,0.80387,0.89393,0.58018,1.14237,0.88256,1.06925,0.000823992,0.000823992,0.000823992
30,28.1374,1.10763,0.79837,1.04037,0.87451,0.80307,0.88547,0.58114,1.08438,0.79183,1.02102,0.000841222,0.000841222,0.000841222
31,28.958,1.05122,0.70341,1.01296,0.87451,0.80307,0.88547,0.58114,1.08438,0.79183,1.02102,0.00085766,0.00085766,0.00085766
32,29.8053,1.05413,0.73908,1.04254,0.87451,0.80307,0.88547,0.58114,1.08438,0.79183,1.02102,0.000873306,0.000873306,0.000873306
33,30.6249,0.99604,0.71029,0.97973,0.85665,0.85166,0.90283,0.61504,0.97671,0.76074,0.9707,0.00088816,0.00088816,0.00088816
34,31.544,0.9961,0.73501,1.01173,0.85665,0.85166,0.90283,0.61504,0.97671,0.76074,0.9707,0.000902222,0.000902222,0.000902222
35,32.4903,1.00824,0.72238,0.99581,0.85665,0.85166,0.90283,0.61504,0.97671,0.76074,0.9707,0.000915492,0.000915492,0.000915492
36,33.5324,1.03148,0.71094,0.98836,0.88683,0.87468,0.91099,0.62022,1.00077,0.80391,0.97315,0.00092797,0.00092797,0.00092797
37,34.4899,1.02096,0.69294,0.97672,0.88683,0.87468,0.91099,0.62022,1.00077,0.80391,0.97315,0.000939656,0.000939656,0.000939656
38,35.4247,1.09009,0.74431,1.02644,0.88683,0.87468,0.91099,0.62022,1.00077,0.80391,0.97315,0.00095055,0.00095055,0.00095055
39,36.3057,1.01318,0.77516,1.00919,0.87259,0.82097,0.89676,0.58416,1.16218,1.03282,1.03278,0.000960652,0.000960652,0.000960652
40,37.2847,1.04778,0.73002,1.01219,0.87259,0.82097,0.89676,0.58416,1.16218,1.03282,1.03278,0.000969962,0.000969962,0.000969962
41,38.3103,1.04733,0.69148,1.00213,0.87259,0.82097,0.89676,0.58416,1.16218,1.03282,1.03278,0.00097848,0.00097848,0.00097848
42,39.2956,1.09299,0.78361,1.0423,0.8599,0.81624,0.89328,0.59443,1.11597,0.94394,1.01626,0.000986206,0.000986206,0.000986206
43,40.1336,1.00401,0.66633,0.99167,0.8599,0.81624,0.89328,0.59443,1.11597,0.94394,1.01626,0.00099314,0.00099314,0.00099314
44,41.1981,1.02025,0.66552,0.9605,0.8599,0.81624,0.89328,0.59443,1.11597,0.94394,1.01626,0.000999282,0.000999282,0.000999282
45,41.9648,0.97685,0.71422,1.0092,0.8599,0.81624,0.89328,0.59443,1.11597,0.94394,1.01626,0.00100463,0.00100463,0.00100463
46,42.7448,0.97325,0.66522,0.98228,0.87778,0.86327,0.9293,0.67282,0.93493,0.73695,0.96324,0.00100919,0.00100919,0.00100919
47,43.5245,1.0303,0.69458,1.00904,0.87778,0.86327,0.9293,0.67282,0.93493,0.73695,0.96324,0.00101296,0.00101296,0.00101296
48,44.316,0.96954,0.66063,0.98421,0.87778,0.86327,0.9293,0.67282,0.93493,0.73695,0.96324,0.00101593,0.00101593,0.00101593
49,45.0449,0.95744,0.66842,0.97247,0.87778,0.86327,0.9293,0.67282,0.93493,0.73695,0.96324,0.00101811,0.00101811,0.00101811
50,45.8006,0.89954,0.6377,0.97446,0.87454,0.89139,0.93427,0.67379,0.94798,0.69255,0.96205,0.0010195,0.0010195,0.0010195
51,46.574,1.0147,0.64937,0.95657,0.87454,0.89139,0.93427,0.67379,0.94798,0.69255,0.96205,0.00101,0.00101,0.00101
52,47.3107,0.94714,0.61833,0.98355,0.87454,0.89139,0.93427,0.67379,0.94798,0.69255,0.96205,0.0009902,0.0009902,0.0009902
53,48.0775,0.9816,0.64264,0.98645,0.87454,0.89139,0.93427,0.67379,0.94798,0.69255,0.96205,0.0009704,0.0009704,0.0009704
54,48.8162,0.8603,0.58825,0.92961,0.88688,0.88229,0.93095,0.64956,1.00258,0.72456,0.97489,0.0009506,0.0009506,0.0009506
55,49.5178,0.89829,0.63298,0.96267,0.88688,0.88229,0.93095,0.64956,1.00258,0.72456,0.97489,0.0009308,0.0009308,0.0009308
56,50.2088,0.88715,0.61586,0.94494,0.88688,0.88229,0.93095,0.64956,1.00258,0.72456,0.97489,0.000911,0.000911,0.000911
57,50.898,0.91349,0.62465,0.95945,0.88688,0.88229,0.93095,0.64956,1.00258,0.72456,0.97489,0.0008912,0.0008912,0.0008912
58,51.6442,0.92422,0.62737,0.95081,0.87797,0.8798,0.92803,0.67335,0.94217,0.68069,0.9496,0.0008714,0.0008714,0.0008714
59,52.3444,0.87301,0.57407,0.94866,0.87797,0.8798,0.92803,0.67335,0.94217,0.68069,0.9496,0.0008516,0.0008516,0.0008516
60,53.0468,0.85449,0.61869,0.94197,0.87797,0.8798,0.92803,0.67335,0.94217,0.68069,0.9496,0.0008318,0.0008318,0.0008318
61,53.7612,0.93966,0.61866,0.98975,0.87797,0.8798,0.92803,0.67335,0.94217,0.68069,0.9496,0.000812,0.000812,0.000812
62,54.4848,0.86486,0.5884,0.93769,0.89736,0.89439,0.94074,0.69242,0.87602,0.6157,0.93422,0.0007922,0.0007922,0.0007922
63,55.2238,0.84955,0.6003,0.94296,0.89736,0.89439,0.94074,0.69242,0.87602,0.6157,0.93422,0.0007724,0.0007724,0.0007724
